variante,ciclo,endereco,endereco_norm
hash,2572096,78474912,9665484
hash,2572097,78470296,9664907
hash,2572098,80795072,9955504
hash,2572099,81812560,10082690
hash,2572100,80795208,9955521
hash,2572101,80822336,9958912
hash,2572102,80799512,9956059
hash,2572103,137422173736,17177627837
hash,2572104,80795264,9955528
hash,2572105,80795288,9955531
hash,2572106,137422173736,17177627837
hash,2572107,80785512,9954309
hash,2572108,80795112,9955509
hash,2572109,80795072,9955504
hash,2572110,80795120,9955510
hash,2572111,80788400,9954670
hash,2572112,137422173846,17177627850
hash,2572113,137422173846,17177627850
hash,2572114,137422173640,17177627825
hash,2572115,137422173656,17177627827
hash,2572116,137422173672,17177627829
hash,2572117,137422173680,17177627830
hash,2572118,137422173688,17177627831
hash,2572119,137422173696,17177627832
hash,2572120,137422173704,17177627833
hash,2572121,137422173712,17177627834
hash,2572122,137422173720,17177627835
hash,2572123,80795072,9955504
hash,2572124,80795208,9955521
hash,2572125,80822336,9958912
hash,2572126,80799508,9956058
hash,2572127,137422173752,17177627839
hash,2572128,137422173760,17177627840
hash,2572129,137422173768,17177627841
hash,2572130,137422173776,17177627842
hash,2572131,137422173784,17177627843
hash,2572132,137422173792,17177627844
hash,2572133,137422173800,17177627845
hash,2572134,137422173912,17177627859
hash,2572135,81812584,10082693
hash,2572136,137422173928,17177627861
hash,2572137,137422173936,17177627862
hash,2572138,137422173944,17177627863
hash,2572139,137422173952,17177627864
hash,2572140,137422173960,17177627865
hash,2572141,137422173968,17177627866
hash,2572142,137422173976,17177627867
hash,2572143,137422174008,17177627871
hash,2572144,1175616,3072
hash,2572145,78451448,9662551
hash,2572146,1175649,3076
hash,2572147,137422174024,17177627873
hash,2572148,81812584,10082693
hash,2572149,137422174040,17177627875
hash,2572150,137422174048,17177627876
hash,2572151,137422174056,17177627877
hash,2572152,137422174064,17177627878
hash,2572153,137422174072,17177627879
hash,2572154,137422174080,17177627880
hash,2572155,137422174088,17177627881
hash,2572156,1175328,3036
hash,2572157,78466192,9664394
hash,2572158,1151784,93
hash,2572159,137422174056,17177627877
hash,2572160,78468008,9664621
hash,2572161,81812584,10082693
hash,2572162,78471112,9665009
hash,2572163,1175616,3072
hash,2572164,78451448,9662551
hash,2572165,1175840,3100
hash,2572166,1175656,3077
hash,2572167,137422173888,17177627856
hash,2572168,137422173896,17177627857
hash,2572169,137422173904,17177627858
hash,2572170,137422173912,17177627859
hash,2572171,137422173968,17177627866
hash,2572172,1175616,3072
hash,2572173,78451448,9662551
hash,2572174,1175640,3075
hash,2572175,1175856,3102
hash,2572176,137422173960,17177627865
hash,2572177,78474848,9665476
hash,2572178,78445160,9661765
hash,2572179,78474912,9665484
hash,2572180,78470296,9664907
hash,2572181,80795072,9955504
hash,2572182,81812560,10082690
hash,2572183,80795208,9955521
hash,2572184,80822336,9958912
hash,2572185,80799512,9956059
hash,2572186,137422173848,17177627851
hash,2572187,80795264,9955528
hash,2572188,80795288,9955531
hash,2572189,137422173848,17177627851
hash,2572190,80785512,9954309
hash,2572191,80795112,9955509
hash,2572192,80795072,9955504
hash,2572193,80795120,9955510
hash,2572194,80788400,9954670
hash,2572195,1151784,93
hash,2572196,137422173752,17177627839
hash,2572197,137422173768,17177627841
hash,2572198,137422173784,17177627843
hash,2572199,137422173792,17177627844
hash,2572200,137422173800,17177627845
hash,2572201,137422173808,17177627846
hash,2572202,137422173816,17177627847
