variante,ciclo,endereco,endereco_norm
historico_matriz,3126971,78445160,9661675
historico_matriz,3126972,78474912,9665394
historico_matriz,3126973,78470296,9664817
historico_matriz,3126974,80795072,9955414
historico_matriz,3126975,81812560,10082600
historico_matriz,3126976,80795208,9955431
historico_matriz,3126977,80822336,9958822
historico_matriz,3126978,80799512,9955969
historico_matriz,3126979,137422173832,17177627759
historico_matriz,3126980,80795264,9955438
historico_matriz,3126981,80795288,9955441
historico_matriz,3126982,137422173832,17177627759
historico_matriz,3126983,80785512,9954219
historico_matriz,3126984,80795112,9955419
historico_matriz,3126985,80795072,9955414
historico_matriz,3126986,80795120,9955420
historico_matriz,3126987,80788400,9954580
historico_matriz,3126988,1151784,3
historico_matriz,3126989,137422173736,17177627747
historico_matriz,3126990,137422173752,17177627749
historico_matriz,3126991,137422173768,17177627751
historico_matriz,3126992,137422173776,17177627752
historico_matriz,3126993,137422173784,17177627753
historico_matriz,3126994,137422173792,17177627754
historico_matriz,3126995,137422173800,17177627755
historico_matriz,3126996,137422173808,17177627756
historico_matriz,3126997,137422173816,17177627757
historico_matriz,3126998,80795072,9955414
historico_matriz,3126999,80795208,9955431
historico_matriz,3127000,80822336,9958822
historico_matriz,3127001,80799508,9955968
historico_matriz,3127002,137422173848,17177627761
historico_matriz,3127003,137422173856,17177627762
historico_matriz,3127004,137422173864,17177627763
historico_matriz,3127005,137422173872,17177627764
historico_matriz,3127006,137422173880,17177627765
historico_matriz,3127007,137422173888,17177627766
historico_matriz,3127008,137422173896,17177627767
historico_matriz,3127009,1175616,2982
historico_matriz,3127010,78451448,9662461
historico_matriz,3127011,137422173960,17177627775
historico_matriz,3127012,1175616,2982
historico_matriz,3127013,78451448,9662461
historico_matriz,3127014,1175649,2986
historico_matriz,3127015,137422173976,17177627777
historico_matriz,3127016,81812584,10082603
historico_matriz,3127017,137422173992,17177627779
historico_matriz,3127018,137422174000,17177627780
historico_matriz,3127019,137422174008,17177627781
historico_matriz,3127020,137422174016,17177627782
historico_matriz,3127021,137422174024,17177627783
historico_matriz,3127022,137422174032,17177627784
historico_matriz,3127023,137422174040,17177627785
historico_matriz,3127024,137422174048,17177627786
historico_matriz,3127025,137422174056,17177627787
historico_matriz,3127026,137422174064,17177627788
historico_matriz,3127027,137422174072,17177627789
historico_matriz,3127028,137422174088,17177627791
historico_matriz,3127029,1175312,2944
historico_matriz,3127030,67448032,8287034
historico_matriz,3127031,67448024,8287033
historico_matriz,3127032,78468008,9664531
historico_matriz,3127033,81812584,10082603
historico_matriz,3127034,78471112,9664919
historico_matriz,3127035,1175616,2982
historico_matriz,3127036,78451448,9662461
historico_matriz,3127037,1175840,3010
historico_matriz,3127038,1175656,2987
historico_matriz,3127039,137422173904,17177627768
historico_matriz,3127040,137422173912,17177627769
historico_matriz,3127041,137422173920,17177627770
historico_matriz,3127042,137422173928,17177627771
historico_matriz,3127043,137422173984,17177627778
historico_matriz,3127044,1175616,2982
historico_matriz,3127045,78451448,9662461
historico_matriz,3127046,1175640,2985
historico_matriz,3127047,1175856,3012
historico_matriz,3127048,137422173976,17177627777
historico_matriz,3127049,78474848,9665386
historico_matriz,3127050,78445160,9661675
historico_matriz,3127051,78474912,9665394
historico_matriz,3127052,78470296,9664817
historico_matriz,3127053,80795072,9955414
historico_matriz,3127054,81812560,10082600
historico_matriz,3127055,80795208,9955431
historico_matriz,3127056,80822336,9958822
historico_matriz,3127057,80799512,9955969
historico_matriz,3127058,137422173864,17177627763
historico_matriz,3127059,80795264,9955438
historico_matriz,3127060,80795288,9955441
historico_matriz,3127061,137422173864,17177627763
historico_matriz,3127062,80785512,9954219
historico_matriz,3127063,80795112,9955419
historico_matriz,3127064,80795072,9955414
historico_matriz,3127065,80795120,9955420
historico_matriz,3127066,80788400,9954580
historico_matriz,3127067,67448043,8287035
historico_matriz,3127068,67448040,8287035
historico_matriz,3127069,137422173768,17177627751
historico_matriz,3127070,137422173784,17177627753
historico_matriz,3127071,137422173800,17177627755
historico_matriz,3127072,137422173808,17177627756
historico_matriz,3127073,137422173816,17177627757
historico_matriz,3127074,137422173824,17177627758
historico_matriz,3127075,137422173832,17177627759
historico_matriz,3127076,137422173840,17177627760
historico_matriz,3127077,137422173848,17177627761
historico_matriz,3127078,80795072,9955414
historico_matriz,3127079,80795208,9955431
historico_matriz,3127080,80822336,9958822
historico_matriz,3127081,80799508,9955968
historico_matriz,3127082,137422173880,17177627765
historico_matriz,3127083,137422173888,17177627766
historico_matriz,3127084,137422173896,17177627767
historico_matriz,3127085,137422173904,17177627768
historico_matriz,3127086,137422173912,17177627769
historico_matriz,3127087,137422173920,17177627770
historico_matriz,3127088,137422173928,17177627771
historico_matriz,3127089,1175616,2982
historico_matriz,3127090,78451448,9662461
historico_matriz,3127091,137422173992,17177627779
historico_matriz,3127092,1175616,2982
historico_matriz,3127093,78451448,9662461
historico_matriz,3127094,1175649,2986
historico_matriz,3127095,137422174008,17177627781
historico_matriz,3127096,81812584,10082603
historico_matriz,3127097,137422174024,17177627783
historico_matriz,3127098,137422174032,17177627784
historico_matriz,3127099,137422174040,17177627785
historico_matriz,3127100,137422174048,17177627786
historico_matriz,3127101,137422174056,17177627787
historico_matriz,3127102,137422174064,17177627788
historico_matriz,3127103,137422174072,17177627789
historico_matriz,3127104,1175368,2951
historico_matriz,3127105,1175616,2982
historico_matriz,3127106,78451448,9662461
historico_matriz,3127107,1175640,2985
historico_matriz,3127108,137422174044,17177627785
historico_matriz,3127109,78464656,9664112
historico_matriz,3127110,81812584,10082603
historico_matriz,3127111,78471112,9664919
historico_matriz,3127112,1175616,2982
historico_matriz,3127113,78451448,9662461
historico_matriz,3127114,1175840,3010
historico_matriz,3127115,1175656,2987
historico_matriz,3127116,137422173920,17177627770
historico_matriz,3127117,137422173928,17177627771
historico_matriz,3127118,137422173936,17177627772
historico_matriz,3127119,137422173944,17177627773
historico_matriz,3127120,137422173952,17177627774
historico_matriz,3127121,1175616,2982
historico_matriz,3127122,78451448,9662461
historico_matriz,3127123,1175856,3012
historico_matriz,3127124,78474888,9665391
historico_matriz,3127125,78474896,9665392
historico_matriz,3127126,78474848,9665386
historico_matriz,3127127,78445168,9661676
historico_matriz,3127128,78474912,9665394
historico_matriz,3127129,78468040,9664535
historico_matriz,3127130,80795188,9955428
historico_matriz,3127131,80795112,9955419
historico_matriz,3127132,80795120,9955420
historico_matriz,3127133,137422173912,17177627769
historico_matriz,3127134,137422173920,17177627770
historico_matriz,3127135,137422173928,17177627771
historico_matriz,3127136,137422173936,17177627772
historico_matriz,3127137,137422173944,17177627773
historico_matriz,3127138,137422173960,17177627775
historico_matriz,3127139,1175616,2982
historico_matriz,3127140,78451448,9662461
historico_matriz,3127141,1175649,2986
historico_matriz,3127142,137422173976,17177627777
historico_matriz,3127143,81812584,10082603
historico_matriz,3127144,137422173992,17177627779
historico_matriz,3127145,137422174000,17177627780
historico_matriz,3127146,137422174008,17177627781
historico_matriz,3127147,137422174016,17177627782
historico_matriz,3127148,137422174024,17177627783
historico_matriz,3127149,137422174056,17177627787
historico_matriz,3127150,137422174064,17177627788
historico_matriz,3127151,137422174072,17177627789
historico_matriz,3127152,137422174096,17177627792
historico_matriz,3127153,137422174104,17177627793
historico_matriz,3127154,137422174120,17177627795
historico_matriz,3127155,137422174140,17177627797
historico_matriz,3127156,137422174052,17177627786
historico_matriz,3127157,137422174056,17177627787
historico_matriz,3127158,137422174024,17177627783
historico_matriz,3127159,137422174724,17177627870
historico_matriz,3127160,137422174032,17177627784
historico_matriz,3127161,137422174040,17177627785
historico_matriz,3127162,137422174052,17177627786
historico_matriz,3127163,137422174056,17177627787
historico_matriz,3127164,137422174052,17177627786
historico_matriz,3127165,137422174024,17177627783
historico_matriz,3127166,137422174712,17177627869
historico_matriz,3127167,137422174020,17177627782
historico_matriz,3127168,137422174032,17177627784
historico_matriz,3127169,137422174040,17177627785
historico_matriz,3127170,137422174072,17177627789
historico_matriz,3127171,137422174024,17177627783
historico_matriz,3127172,67439516,8285969
historico_matriz,3127173,137422174032,17177627784
historico_matriz,3127174,137422174040,17177627785
historico_matriz,3127175,137422174068,17177627788
historico_matriz,3127176,137422174068,17177627788
historico_matriz,3127177,137422174072,17177627789
historico_matriz,3127178,137422174024,17177627783
historico_matriz,3127179,67439504,8285968
historico_matriz,3127180,137422174020,17177627782
historico_matriz,3127181,137422174032,17177627784
historico_matriz,3127182,137422174040,17177627785
historico_matriz,3127183,67462240,8288810
historico_matriz,3127184,137422174072,17177627789
historico_matriz,3127185,137422174024,17177627783
historico_matriz,3127186,67439516,8285969
historico_matriz,3127187,137422174032,17177627784
historico_matriz,3127188,137422174040,17177627785
historico_matriz,3127189,137422174068,17177627788
historico_matriz,3127190,137422174068,17177627788
historico_matriz,3127191,137422174072,17177627789
historico_matriz,3127192,137422174024,17177627783
historico_matriz,3127193,67439504,8285968
historico_matriz,3127194,137422174020,17177627782
historico_matriz,3127195,137422174032,17177627784
historico_matriz,3127196,137422174040,17177627785
historico_matriz,3127197,67462244,8288810
historico_matriz,3127198,137422174072,17177627789
historico_matriz,3127199,137422174024,17177627783
historico_matriz,3127200,67439516,8285969
historico_matriz,3127201,137422174032,17177627784
historico_matriz,3127202,137422174040,17177627785
historico_matriz,3127203,137422174068,17177627788
historico_matriz,3127204,137422174068,17177627788
historico_matriz,3127205,137422174072,17177627789
historico_matriz,3127206,137422174024,17177627783
historico_matriz,3127207,67439504,8285968
historico_matriz,3127208,137422174020,17177627782
historico_matriz,3127209,137422174032,17177627784
historico_matriz,3127210,137422174040,17177627785
historico_matriz,3127211,67462248,8288811
historico_matriz,3127212,137422174072,17177627789
historico_matriz,3127213,137422174024,17177627783
historico_matriz,3127214,67439516,8285969
historico_matriz,3127215,137422174032,17177627784
historico_matriz,3127216,137422174040,17177627785
historico_matriz,3127217,137422174068,17177627788
historico_matriz,3127218,137422174068,17177627788
historico_matriz,3127219,137422174072,17177627789
historico_matriz,3127220,137422174024,17177627783
historico_matriz,3127221,67439504,8285968
historico_matriz,3127222,137422174020,17177627782
historico_matriz,3127223,137422174032,17177627784
historico_matriz,3127224,137422174040,17177627785
historico_matriz,3127225,67462252,8288811
historico_matriz,3127226,137422174072,17177627789
historico_matriz,3127227,137422174024,17177627783
historico_matriz,3127228,67439516,8285969
historico_matriz,3127229,137422174032,17177627784
historico_matriz,3127230,137422174040,17177627785
historico_matriz,3127231,137422174068,17177627788
historico_matriz,3127232,137422174068,17177627788
historico_matriz,3127233,137422174072,17177627789
historico_matriz,3127234,137422174024,17177627783
historico_matriz,3127235,67439504,8285968
historico_matriz,3127236,137422174020,17177627782
historico_matriz,3127237,137422174032,17177627784
historico_matriz,3127238,137422174040,17177627785
historico_matriz,3127239,67462256,8288812
historico_matriz,3127240,137422174072,17177627789
historico_matriz,3127241,137422174024,17177627783
historico_matriz,3127242,67439516,8285969
historico_matriz,3127243,137422174032,17177627784
historico_matriz,3127244,137422174040,17177627785
historico_matriz,3127245,137422174068,17177627788
historico_matriz,3127246,137422174068,17177627788
historico_matriz,3127247,137422174072,17177627789
historico_matriz,3127248,137422174024,17177627783
historico_matriz,3127249,67439504,8285968
historico_matriz,3127250,137422174020,17177627782
historico_matriz,3127251,137422174032,17177627784
historico_matriz,3127252,137422174040,17177627785
historico_matriz,3127253,67462260,8288812
historico_matriz,3127254,137422174072,17177627789
historico_matriz,3127255,137422174024,17177627783
historico_matriz,3127256,67439516,8285969
historico_matriz,3127257,137422174032,17177627784
historico_matriz,3127258,137422174040,17177627785
historico_matriz,3127259,137422174068,17177627788
historico_matriz,3127260,137422174068,17177627788
historico_matriz,3127261,137422174072,17177627789
historico_matriz,3127262,137422174024,17177627783
historico_matriz,3127263,67439504,8285968
historico_matriz,3127264,137422174020,17177627782
historico_matriz,3127265,137422174032,17177627784
historico_matriz,3127266,137422174040,17177627785
historico_matriz,3127267,67462264,8288813
historico_matriz,3127268,137422174072,17177627789
historico_matriz,3127269,137422174024,17177627783
historico_matriz,3127270,67439516,8285969
historico_matriz,3127271,137422174032,17177627784
historico_matriz,3127272,137422174040,17177627785
historico_matriz,3127273,137422174068,17177627788
historico_matriz,3127274,137422174068,17177627788
historico_matriz,3127275,137422174072,17177627789
historico_matriz,3127276,137422174024,17177627783
historico_matriz,3127277,67439504,8285968
historico_matriz,3127278,137422174020,17177627782
historico_matriz,3127279,137422174032,17177627784
historico_matriz,3127280,137422174040,17177627785
historico_matriz,3127281,67462268,8288813
historico_matriz,3127282,137422174072,17177627789
historico_matriz,3127283,137422174024,17177627783
historico_matriz,3127284,67439516,8285969
historico_matriz,3127285,137422174032,17177627784
historico_matriz,3127286,137422174040,17177627785
historico_matriz,3127287,137422174068,17177627788
historico_matriz,3127288,137422174068,17177627788
historico_matriz,3127289,137422174072,17177627789
historico_matriz,3127290,137422174024,17177627783
historico_matriz,3127291,67439504,8285968
historico_matriz,3127292,137422174020,17177627782
historico_matriz,3127293,137422174032,17177627784
historico_matriz,3127294,137422174040,17177627785
historico_matriz,3127295,67462272,8288814
historico_matriz,3127296,137422174072,17177627789
historico_matriz,3127297,137422174024,17177627783
historico_matriz,3127298,67439516,8285969
historico_matriz,3127299,137422174032,17177627784
historico_matriz,3127300,137422174040,17177627785
historico_matriz,3127301,137422174068,17177627788
historico_matriz,3127302,137422174068,17177627788
historico_matriz,3127303,137422174072,17177627789
historico_matriz,3127304,137422174024,17177627783
historico_matriz,3127305,67439504,8285968
historico_matriz,3127306,137422174020,17177627782
historico_matriz,3127307,137422174032,17177627784
historico_matriz,3127308,137422174040,17177627785
historico_matriz,3127309,67462276,8288814
historico_matriz,3127310,137422174072,17177627789
historico_matriz,3127311,137422174024,17177627783
historico_matriz,3127312,67439516,8285969
historico_matriz,3127313,137422174032,17177627784
historico_matriz,3127314,137422174040,17177627785
historico_matriz,3127315,137422174068,17177627788
historico_matriz,3127316,137422174068,17177627788
historico_matriz,3127317,137422174072,17177627789
historico_matriz,3127318,137422174024,17177627783
historico_matriz,3127319,67439504,8285968
historico_matriz,3127320,137422174020,17177627782
historico_matriz,3127321,137422174032,17177627784
historico_matriz,3127322,137422174040,17177627785
historico_matriz,3127323,67462280,8288815
historico_matriz,3127324,137422174072,17177627789
historico_matriz,3127325,137422174024,17177627783
historico_matriz,3127326,67439516,8285969
historico_matriz,3127327,137422174032,17177627784
historico_matriz,3127328,137422174040,17177627785
historico_matriz,3127329,137422174068,17177627788
historico_matriz,3127330,137422174068,17177627788
historico_matriz,3127331,137422174072,17177627789
historico_matriz,3127332,137422174024,17177627783
historico_matriz,3127333,67439504,8285968
historico_matriz,3127334,137422174020,17177627782
historico_matriz,3127335,137422174032,17177627784
historico_matriz,3127336,137422174040,17177627785
historico_matriz,3127337,67462284,8288815
historico_matriz,3127338,137422174072,17177627789
historico_matriz,3127339,137422174024,17177627783
historico_matriz,3127340,67439516,8285969
historico_matriz,3127341,137422174032,17177627784
historico_matriz,3127342,137422174040,17177627785
historico_matriz,3127343,137422174068,17177627788
historico_matriz,3127344,137422174068,17177627788
historico_matriz,3127345,137422174072,17177627789
historico_matriz,3127346,137422174024,17177627783
historico_matriz,3127347,67439504,8285968
historico_matriz,3127348,137422174020,17177627782
historico_matriz,3127349,137422174032,17177627784
historico_matriz,3127350,137422174040,17177627785
historico_matriz,3127351,67462288,8288816
historico_matriz,3127352,137422174072,17177627789
historico_matriz,3127353,137422174024,17177627783
historico_matriz,3127354,67439516,8285969
historico_matriz,3127355,137422174032,17177627784
historico_matriz,3127356,137422174040,17177627785
historico_matriz,3127357,137422174068,17177627788
historico_matriz,3127358,137422174068,17177627788
historico_matriz,3127359,137422174072,17177627789
historico_matriz,3127360,137422174024,17177627783
historico_matriz,3127361,67439504,8285968
historico_matriz,3127362,137422174020,17177627782
historico_matriz,3127363,137422174032,17177627784
historico_matriz,3127364,137422174040,17177627785
historico_matriz,3127365,67462292,8288816
historico_matriz,3127366,137422174072,17177627789
historico_matriz,3127367,137422174024,17177627783
historico_matriz,3127368,67439516,8285969
historico_matriz,3127369,137422174032,17177627784
historico_matriz,3127370,137422174040,17177627785
historico_matriz,3127371,137422174068,17177627788
historico_matriz,3127372,137422174068,17177627788
historico_matriz,3127373,137422174072,17177627789
historico_matriz,3127374,137422174024,17177627783
historico_matriz,3127375,67439504,8285968
historico_matriz,3127376,137422174020,17177627782
historico_matriz,3127377,137422174032,17177627784
historico_matriz,3127378,137422174040,17177627785
historico_matriz,3127379,67462296,8288817
historico_matriz,3127380,137422174072,17177627789
historico_matriz,3127381,137422174024,17177627783
historico_matriz,3127382,67439516,8285969
historico_matriz,3127383,137422174032,17177627784
historico_matriz,3127384,137422174040,17177627785
historico_matriz,3127385,137422174068,17177627788
historico_matriz,3127386,137422174068,17177627788
historico_matriz,3127387,137422174072,17177627789
historico_matriz,3127388,137422174024,17177627783
historico_matriz,3127389,67439504,8285968
historico_matriz,3127390,137422174020,17177627782
historico_matriz,3127391,137422174032,17177627784
historico_matriz,3127392,137422174040,17177627785
historico_matriz,3127393,67462300,8288817
historico_matriz,3127394,137422174072,17177627789
historico_matriz,3127395,137422174024,17177627783
historico_matriz,3127396,67439516,8285969
historico_matriz,3127397,137422174032,17177627784
historico_matriz,3127398,137422174040,17177627785
historico_matriz,3127399,137422174068,17177627788
historico_matriz,3127400,137422174068,17177627788
historico_matriz,3127401,137422174072,17177627789
historico_matriz,3127402,137422174024,17177627783
historico_matriz,3127403,67439504,8285968
historico_matriz,3127404,137422174020,17177627782
historico_matriz,3127405,137422174032,17177627784
historico_matriz,3127406,137422174040,17177627785
historico_matriz,3127407,67462304,8288818
historico_matriz,3127408,137422174072,17177627789
historico_matriz,3127409,137422174024,17177627783
historico_matriz,3127410,67439516,8285969
historico_matriz,3127411,137422174032,17177627784
historico_matriz,3127412,137422174040,17177627785
historico_matriz,3127413,137422174068,17177627788
historico_matriz,3127414,137422174068,17177627788
historico_matriz,3127415,137422174072,17177627789
historico_matriz,3127416,137422174024,17177627783
historico_matriz,3127417,67439504,8285968
historico_matriz,3127418,137422174020,17177627782
historico_matriz,3127419,137422174032,17177627784
historico_matriz,3127420,137422174040,17177627785
historico_matriz,3127421,67462308,8288818
historico_matriz,3127422,137422174072,17177627789
historico_matriz,3127423,137422174024,17177627783
historico_matriz,3127424,67439516,8285969
historico_matriz,3127425,137422174032,17177627784
historico_matriz,3127426,137422174040,17177627785
historico_matriz,3127427,137422174068,17177627788
historico_matriz,3127428,137422174068,17177627788
historico_matriz,3127429,137422174072,17177627789
historico_matriz,3127430,137422174024,17177627783
historico_matriz,3127431,67439504,8285968
historico_matriz,3127432,137422174020,17177627782
historico_matriz,3127433,137422174032,17177627784
historico_matriz,3127434,137422174040,17177627785
historico_matriz,3127435,67462312,8288819
historico_matriz,3127436,137422174072,17177627789
historico_matriz,3127437,137422174024,17177627783
historico_matriz,3127438,67439516,8285969
historico_matriz,3127439,137422174032,17177627784
historico_matriz,3127440,137422174040,17177627785
historico_matriz,3127441,137422174068,17177627788
historico_matriz,3127442,137422174068,17177627788
historico_matriz,3127443,137422174072,17177627789
historico_matriz,3127444,137422174024,17177627783
historico_matriz,3127445,67439504,8285968
historico_matriz,3127446,137422174020,17177627782
historico_matriz,3127447,137422174032,17177627784
historico_matriz,3127448,137422174040,17177627785
historico_matriz,3127449,67462316,8288819
historico_matriz,3127450,137422174072,17177627789
historico_matriz,3127451,137422174024,17177627783
historico_matriz,3127452,67439516,8285969
historico_matriz,3127453,137422174032,17177627784
historico_matriz,3127454,137422174040,17177627785
historico_matriz,3127455,137422174068,17177627788
historico_matriz,3127456,137422174068,17177627788
historico_matriz,3127457,137422174072,17177627789
historico_matriz,3127458,137422174024,17177627783
historico_matriz,3127459,67439504,8285968
historico_matriz,3127460,137422174020,17177627782
historico_matriz,3127461,137422174032,17177627784
historico_matriz,3127462,137422174040,17177627785
historico_matriz,3127463,67462320,8288820
historico_matriz,3127464,137422174072,17177627789
historico_matriz,3127465,137422174024,17177627783
historico_matriz,3127466,67439516,8285969
historico_matriz,3127467,137422174032,17177627784
historico_matriz,3127468,137422174040,17177627785
historico_matriz,3127469,137422174068,17177627788
historico_matriz,3127470,137422174068,17177627788
historico_matriz,3127471,137422174072,17177627789
historico_matriz,3127472,137422174024,17177627783
historico_matriz,3127473,67439504,8285968
historico_matriz,3127474,137422174020,17177627782
historico_matriz,3127475,137422174032,17177627784
historico_matriz,3127476,137422174040,17177627785
historico_matriz,3127477,67462324,8288820
historico_matriz,3127478,137422174072,17177627789
historico_matriz,3127479,137422174024,17177627783
historico_matriz,3127480,67439516,8285969
historico_matriz,3127481,137422174032,17177627784
historico_matriz,3127482,137422174040,17177627785
historico_matriz,3127483,137422174068,17177627788
historico_matriz,3127484,137422174068,17177627788
historico_matriz,3127485,137422174072,17177627789
historico_matriz,3127486,137422174024,17177627783
historico_matriz,3127487,67439504,8285968
historico_matriz,3127488,137422174020,17177627782
historico_matriz,3127489,137422174032,17177627784
historico_matriz,3127490,137422174040,17177627785
historico_matriz,3127491,67462328,8288821
historico_matriz,3127492,137422174072,17177627789
historico_matriz,3127493,137422174024,17177627783
historico_matriz,3127494,67439516,8285969
historico_matriz,3127495,137422174032,17177627784
