experimento,parametro,valor,variante,seed,usuarios,produtos,compras,reposicoes,consultas_lu,consultas_lp,consultas_lc,consultas_lr,filtros,pct_booleano,pct_faixa_preco_qtd,tempo_total_s,total_estimado_bytes,rss_kb,indices_bytes,comparacoes_conjunto,insercoes_indice
E05_consultas,consultas_por_tipo,50,vetor,42,1000,1000,200,200,50,50,50,50,2,0,0,0.019596,1414501,5028,568229,23228,17800
E05_consultas,consultas_por_tipo,50,hash,42,1000,1000,200,200,50,50,50,50,2,0,0,0.017269,1649501,5276,803229,23228,17800
E05_consultas,consultas_por_tipo,100,vetor,42,1000,1000,200,200,100,100,100,100,2,0,0,0.024740,1414501,5036,568229,48132,17800
E05_consultas,consultas_por_tipo,100,hash,42,1000,1000,200,200,100,100,100,100,2,0,0,0.018371,1649501,5260,803229,48132,17800
E05_consultas,consultas_por_tipo,200,vetor,42,1000,1000,200,200,200,200,200,200,2,0,0,0.024498,1414501,5068,568229,98600,17800
E05_consultas,consultas_por_tipo,200,hash,42,1000,1000,200,200,200,200,200,200,2,0,0,0.019913,1649501,5316,803229,98600,17800
E05_consultas,consultas_por_tipo,300,vetor,42,1000,1000,200,200,300,300,300,300,2,0,0,0.033095,1414501,5036,568229,149713,17800
E05_consultas,consultas_por_tipo,300,hash,42,1000,1000,200,200,300,300,300,300,2,0,0,0.026510,1649501,5272,803229,149713,17800
E05_consultas,consultas_por_tipo,400,vetor,42,1000,1000,200,200,400,400,400,400,2,0,0,0.044537,1414501,5024,568229,198924,17800
E05_consultas,consultas_por_tipo,400,hash,42,1000,1000,200,200,400,400,400,400,2,0,0,0.026880,1649501,5320,803229,198924,17800
E05_consultas,consultas_por_tipo,500,vetor,42,1000,1000,200,200,500,500,500,500,2,0,0,0.040866,1414501,5068,568229,251619,17800
E05_consultas,consultas_por_tipo,500,hash,42,1000,1000,200,200,500,500,500,500,2,0,0,0.038013,1649501,5276,803229,251619,17800
E06_booleanos,pct_booleano,0,vetor,42,1000,1000,200,200,100,100,100,100,2,0,0,0.022264,1414501,5024,568229,48132,17800
E06_booleanos,pct_booleano,0,hash,42,1000,1000,200,200,100,100,100,100,2,0,0,0.018883,1649501,5312,803229,48132,17800
